iter	Passed	Remaining
993	55459	167716
994	55514	167658
995	55569	167600
996	55625	167545
997	55801	167852
998	55852	167782
999	55904	167714
1000	55957	167649
1001	56011	167588
1002	56065	167524
1003	56121	167469
1004	56177	167415
1005	56233	167358
1006	56283	167286
1007	56337	167224
1008	56396	167176
1009	56458	167139
1010	56529	167129
1011	56586	167075
1012	56642	167020
1013	56698	166963
1014	56756	166914
1015	56830	166910
1016	56901	166898
1017	56962	166858
1018	57022	166813
1019	57078	166759
1020	57136	166708
1021	57196	166664
1022	57253	166613
1023	57314	166570
1024	57374	166524
1025	57432	166475
1026	57490	166425
1027	57543	166361
1028	57598	166301
1029	57658	166257
1030	57719	166217
1031	57779	166171
1032	57838	166124
1033	57919	166139
1034	57976	166088
1035	58032	166030
1036	58094	165992
1037	58157	165955
1038	58211	165893
1039	58271	165851
1040	58323	165782
1041	58383	165737
1042	58441	165685
1043	58498	165633
1044	58560	165595
1045	58619	165548
1046	58683	165513
1047	58743	165467
1048	58799	165412
1049	58853	165350
1050	58906	165284
1051	58979	165276
1052	59038	165228
1053	59088	165156
1054	59142	165094
1055	59199	165040
1056	59254	164983
1057	59308	164919
1058	59368	164876
1059	59426	164825
1060	59484	164774
1061	59539	164715
1062	59607	164690
1063	59659	164624
1064	59715	164568
1065	59764	164492
1066	59820	164437
1067	59875	164377
1068	59932	164324
1069	60003	164307
1070	60059	164253
1071	60109	164179
1072	60161	164113
1073	60214	164047
1074	60267	163984
1075	60320	163918
1076	60375	163859
1077	60430	163800
1078	60482	163733
1079	60538	163676
1080	60591	163613
1081	60648	163560
1082	60701	163496
1083	60758	163442
1084	60810	163376
1085	60866	163319
1086	60919	163255
1087	60977	163203
1088	61045	163180
1089	61106	163138
1090	61172	163107
1091	61230	163056
1092	61285	162998
1093	61336	162927
1094	61389	162863
1095	61446	162810
1096	61500	162748
1097	61555	162691
1098	61610	162632
1099	61661	162563
1100	61721	162515
1101	61773	162448
1102	61826	162385
1103	61881	162326
1104	61931	162254
1105	61981	162182
1106	62039	162131
1107	62117	162133
1108	62175	162082
1109	62224	162007
1110	62278	161946
1111	62331	161882
1112	62384	161819
1113	62440	161761
1114	62495	161704
1115	62548	161639
1116	62607	161591
1117	62664	161538
1118	62718	161475
1119	62769	161408
1120	62823	161345
1121	62875	161280
1122	62931	161222
1123	62986	161164
1124	63041	161104
1125	63097	161049
1126	63170	161037
1127	63221	160968
1128	63271	160896
1129	63320	160822
1130	63373	160759
1131	63429	160701
1132	63486	160648
1133	63543	160594
1134	63594	160527
1135	63649	160468
1136	63702	160404
1137	63758	160348
1138	63817	160299
1139	63868	160231
1140	63922	160171
1141	63974	160104
1142	64027	160041
1143	64083	159983
1144	64137	159924
1145	64220	159934
1146	64276	159878
1147	64332	159823
1148	64391	159773
1149	64444	159711
1150	64500	159652
1151	64558	159602
1152	64612	159541
1153	64668	159485
1154	64727	159435
1155	64778	159369
1156	64836	159317
1157	64893	159263
1158	64947	159203
1159	65000	159138
1160	65050	159069
1161	65107	159015
1162	65158	158945
1163	65206	158870
1164	65284	158868
1165	65341	158813
1166	65394	158750
1167	65445	158683
1168	65500	158624
1169	65553	158561
1170	65609	158505
1171	65661	158439
1172	65716	158381
1173	65770	158318
1174	65822	158253
1175	65877	158196
1176	65938	158152
1177	65997	158102
1178	66056	158052
1179	66113	157999
1180	66170	157947
1181	66224	157886
1182	66298	157873
1183	66348	157802
1184	66406	157750
1185	66458	157683
1186	66511	157621
1187	66569	157570
1188	66620	157502
1189	66673	157439
1190	66727	157377
1191	66780	157316
1192	66839	157265
1193	66893	157204
1194	66949	157150
1195	67008	157100
1196	67060	157034
1197	67113	156972
1198	67173	156925
1199	67229	156868
1200	67284	156811
1201	67341	156757
1202	67419	156751
1203	67472	156688
1204	67524	156622
1205	67577	156560
1206	67631	156499
1207	67683	156434
1208	67740	156379
1209	67793	156316
1210	67849	156262
1211	67901	156194
1212	67956	156137
1213	68009	156074
1214	68067	156021
1215	68125	155971
1216	68177	155905
1217	68229	155841
1218	68285	155785
1219	68339	155724
1220	68396	155670
1221	68475	155666
1222	68533	155614
1223	68591	155562
1224	68641	155494
1225	68695	155433
1226	68753	155381
1227	68809	155324
1228	68867	155274
1229	68925	155222
1230	68983	155171
1231	69038	155111
1232	69097	155062
1233	69142	154982
1234	69196	154921
1235	69250	154861
1236	69308	154808
1237	69364	154753
1238	69417	154691
1239	69487	154666
1240	69543	154609
1241	69596	154546
1242	69653	154493
1243	69706	154430
1244	69762	154373
1245	69815	154312
1246	69882	154279
1247	69937	154221
1248	69994	154166
1249	70058	154127
1250	70109	154061
1251	70164	154003
1252	70222	153951
1253	70276	153889
1254	70329	153827
1255	70389	153780
1256	70447	153729
1257	70504	153676
1258	70593	153690
1259	70646	153628
1260	70706	153579
1261	70770	153542
1262	70834	153503
1263	70889	153444
1264	70942	153380
1265	70997	153322
1266	71057	153275
1267	71141	153280
1268	71200	153229
1269	71255	153170
1270	71310	153111
1271	71364	153052
1272	71422	152999
1273	71487	152962
1274	71542	152904
1275	71620	152896
1276	71678	152842
1277	71738	152796
1278	71792	152734
1279	71843	152668
1280	71894	152600
1281	71947	152538
1282	72001	152477
1283	72054	152415
1284	72111	152360
1285	72164	152296
1286	72219	152239
1287	72284	152200
1288	72337	152139
1289	72393	152082
1290	72445	152018
1291	72502	151964
1292	72562	151915
1293	72621	151866
1294	72691	151837
1295	72745	151777
1296	72793	151704
1297	72842	151633
1298	72897	151574
1299	72947	151506
1300	73000	151444
1301	73058	151392
1302	73124	151355
1303	73184	151308
1304	73237	151244
1305	73292	151186
1306	73343	151119
1307	73405	151075
1308	73459	151016
1309	73512	150954
1310	73573	150906
1311	73627	150846
1312	73681	150786
1313	73761	150778
1314	73811	150709
1315	73862	150642
1316	73912	150574
1317	73961	150505
1318	74012	150437
1319	74069	150384
1320	74127	150330
1321	74179	150266
1322	74235	150211
1323	74290	150151
1324	74342	150087
1325	74398	150032
1326	74450	149967
1327	74503	149905
1328	74563	149855
1329	74622	149806
1330	74682	149756
1331	74738	149702
1332	74788	149632
1333	74867	149622
1334	74921	149563
1335	74984	149519
1336	75043	149470
1337	75105	149424
1338	75163	149372
1339	75220	149318
1340	75298	149304
1341	75360	149261
1342	75413	149198
1343	75477	149157
1344	75531	149097
1345	75591	149049
1346	75651	149001
1347	75708	148944
1348	75761	148883
1349	75813	148819
1350	75994	149006
1351	76055	148961
1352	76120	148922
1353	76175	148862
1354	76232	148807
1355	76288	148750
1356	76343	148692
1357	76401	148639
1358	76459	148586
1359	76518	148536
1360	76575	148481
1361	76628	148418
1362	76679	148352
1363	76738	148300
1364	76793	148243
1365	76847	148181
1366	76900	148118
1367	76953	148056
1368	77007	147996
1369	77085	147981
1370	77139	147920
1371	77195	147864
1372	77252	147808
1373	77307	147751
1374	77362	147692
1375	77413	147626
1376	77468	147566
1377	77526	147513
1378	77579	147452
1379	77632	147389
1380	77689	147333
1381	77744	147275
1382	77797	147212
1383	77857	147163
1384	77911	147103
1385	77965	147043
1386	78016	146976
1387	78065	146906
1388	78143	146892
1389	78196	146828
1390	78251	146770
1391	78305	146709
1392	78362	146656
1393	78412	146587
1394	78463	146521
1395	78516	146459
1396	78568	146394
1397	78625	146341
1398	78685	146290
1399	78739	146231
1400	78797	146177
1401	78846	146107
1402	78900	146047
1403	78953	145984
1404	79007	145924
1405	79061	145864
1406	79113	145800
1407	79193	145788
1408	79246	145726
1409	79301	145666
1410	79353	145603
1411	79405	145538
1412	79458	145476
1413	79508	145409
1414	79556	145338
1415	79606	145269
1416	79662	145214
1417	79714	145150
1418	79768	145089
1419	79821	145028
1420	79877	144971
1421	79932	144912
1422	79987	144854
1423	80041	144793
1424	80094	144731
1425	80144	144664
1426	80226	144655
1427	80278	144592
1428	80330	144527
1429	80381	144462
1430	80436	144403
1431	80487	144337
1432	80543	144280
1433	80596	144220
1434	80653	144164
1435	80706	144102
1436	80764	144049
1437	80815	143983
1438	80868	143922
1439	80924	143866
1440	80979	143806
1441	81034	143748
1442	81080	143674
1443	81135	143615
1444	81183	143545
1445	81235	143482
1446	81321	143478
1447	81377	143423
1448	81428	143357
1449	81483	143298
1450	81539	143241
1451	81590	143177
1452	81641	143110
1453	81699	143057
1454	81747	142988
1455	81803	142930
1456	81855	142868
1457	81913	142815
1458	81962	142746
1459	82017	142687
1460	82072	142629
1461	82131	142578
1462	82187	142522
1463	82240	142460
1464	82293	142397
1465	82372	142381
1466	82430	142328
1467	82485	142271
1468	82539	142209
1469	82595	142153
1470	82649	142094
1471	82706	142040
1472	82760	141979
1473	82813	141917
1474	82870	141863
1475	82924	141803
1476	82983	141751
1477	83039	141695
1478	83091	141632
1479	83151	141581
1480	83202	141517
1481	83256	141457
1482	83307	141392
1483	83364	141337
1484	83449	141331
1485	83502	141268
1486	83558	141211
1487	83609	141146
1488	83658	141079
1489	83707	141010
1490	83756	140941
1491	83809	140881
1492	83863	140821
1493	83925	140774
1494	83981	140718
1495	84036	140659
1496	84094	140607
1497	84150	140550
1498	84204	140490
1499	84256	140427
1500	84309	140366
1501	84365	140310
1502	84415	140242
1503	84490	140217
1504	84545	140160
1505	84595	140094
1506	84651	140037
1507	84708	139981
1508	84761	139921
1509	84817	139865
1510	84872	139806
1511	84921	139739
1512	84977	139681
1513	85028	139617
